id,Will_Buy_EV
668665,0.02584571437910199
668666,0.015958352712914348
668667,0.003036000649444759
668668,0.002739085932262242
668669,0.024182181805372238
668670,0.004418327589519322
668671,0.5082436725497246
668672,0.0002678121927601751
668673,0.7031639069318771
668674,0.012378628365695477
668675,0.2854154482483864
668676,0.5312513336539268
668677,0.036808321718126535
668678,0.25349314138293266
668679,0.016888624988496304
668680,0.08082100376486778
668681,0.001554444243083708
668682,0.00013545023284677882
668683,0.0624400544911623
668684,0.10117540881037712
668685,0.0004145049970247783
668686,0.0012500309094320983
668687,0.0053423335193656385
668688,0.7138430923223495
668689,0.0001309675099037122
668690,0.012922446709126234
668691,0.000649023349978961
668692,0.0017073417839128524
668693,0.1893119253218174
668694,0.6910292208194733
668695,0.015981686767190695
668696,0.204402644187212
668697,0.11059161275625229
668698,0.00043347987957531586
668699,0.10225587710738182
668700,0.0045056999661028385
668701,0.6262544542551041
668702,0.884535402059555
668703,0.42456796765327454
668704,0.0006269760197028518
668705,0.005715317674912512
668706,0.0014196113916113973
668707,0.0008784451638348401
668708,0.0011253797711106017
668709,0.0755782276391983
668710,0.03288570139557123
668711,0.4486040994524956
668712,6.671808841929305e-05
668713,0.7143116593360901
668714,0.00041710667574079707
668715,0.8711685538291931
668716,0.2948923893272877
668717,0.2197589073330164
668718,0.05010355310514569
668719,0.00012018862071272451
668720,0.8749037533998489
668721,0.8923390656709671
668722,0.8372548520565033
668723,0.0014590143255190924
668724,0.42242076247930527
668725,0.6236089318990707
668726,0.8271193653345108
668727,0.18066256493330002
668728,0.1613650657236576
668729,0.0002560924622230232
668730,0.00010497114453755785
668731,0.7676381170749664
668732,0.014404073590412736
668733,0.012526001781225204
668734,0.006652287731412798
668735,0.0006463324825745076
668736,0.004195269488263875
668737,0.007127989316359162
668738,0.8011853396892548
668739,0.9214242696762085
668740,0.0006192840373842046
668741,0.01924769300967455
668742,0.005593491951003671
668743,0.00807970727328211
668744,0.0008152941300068051
668745,0.031553011387586594
668746,0.0004947533525410108
668747,0.1824999377131462
668748,0.05444680247455835
668749,0.07107511814683676
668750,0.05744257289916277
668751,0.018155435100197792
668752,0.0003625901044870261
668753,0.011057591647841036
668754,0.016946323215961456
668755,0.0470046978443861
668756,0.04997371882200241
668757,4.614410772774136e-05
668758,0.2041674554347992
668759,0.03797389939427376
668760,0.028664784971624613
668761,0.00051149074715795
668762,0.019076383439823985
668763,0.11133956722915173
668764,0.8181971311569214
668765,0.0013258633989607915
668766,0.057090350426733494
668767,0.007115293527022004
668768,0.005824384395964444
668769,0.06328948959708214
668770,0.0541503019630909
668771,0.011021386366337538
668772,0.7490807473659515
668773,0.004625405592378229
668774,8.019878623599652e-05
668775,0.11872551031410694
668776,0.621622271835804
668777,0.008666157838888466
668778,0.00014492103764496278
668779,0.12420432269573212
668780,0.38828665763139725
668781,0.03372948616743088
668782,0.02886359393596649
668783,0.0007116866545402445
668784,0.10880704782903194
668785,0.30435770377516747
668786,0.7726835757493973
668787,0.00968984270002693
668788,0.010498858289793134
668789,0.008250236161984503
668790,0.5445051565766335
668791,0.8598667830228806
668792,0.09153803437948227
668793,0.017194491811096668
668794,0.0005687076118192635
668795,0.047011165879666805
668796,0.3833972364664078
668797,0.008785900310613215
668798,0.030534299090504646
668799,0.007142987567931414
668800,0.001477291269111447
668801,0.00026214341414743103
668802,0.016033297637477517
668803,0.8322059214115143
668804,0.05123883672058582
668805,0.006331190466880798
668806,0.024846578249707818
668807,0.3128930479288101
668808,0.5690182745456696
668809,0.7650300115346909
668810,0.00022245256695896387
668811,0.0009353164641652256
668812,0.006161226192489266
668813,0.0018971926474478096
668814,0.6156561225652695
668815,0.0016222375561483204
668816,0.6676578372716904
668817,0.01170554175041616
668818,0.028769719414412975
668819,0.006066210742574185
668820,0.0002595115147414617
668821,0.7774548977613449
668822,0.3025241233408451
668823,0.00011568062291189563
668824,0.4945758432149887
668825,0.004140305274631828
668826,0.49635399132966995
668827,0.14045295491814613
668828,0.09222305566072464
668829,0.00036603921034839004
668830,0.3358187898993492
668831,0.012529130326583982
668832,0.6257667019963264
668833,0.39682260900735855
668834,0.6729051768779755
668835,0.0010389724629931152
668836,0.003188302056514658
668837,0.009434308158233762
668838,0.0007768656578264199
668839,0.7267574071884155
668840,0.36127564311027527
668841,0.8269217312335968
668842,0.1342419646680355
668843,0.1503191478550434
668844,0.0025851071695797145
668845,0.00045070557825965807
668846,0.626270018517971
668847,0.21427332237362862
668848,0.002655525808222592
668849,0.28026746585965157
668850,0.0004293844831408933
668851,0.0167775044683367
668852,0.0034233186743222177
668853,0.17696814611554146
668854,0.4805649071931839
668855,0.5116064324975014
668856,0.00036609142989618704
668857,0.029879467096179724
668858,0.2929861843585968
668859,0.0002749878076429013
668860,0.15871687233448029
668861,0.6896376758813858
668862,0.38592342287302017
668863,0.09822751022875309
